"","PL1013","PL1015","PL1023","PL1043","PL1159","PL1182","PL1226","PL1362","PL1365","PL1383","PL1493","PL1506","PL1618","PL1626","PL1627","PL1648","PL1720","PL1755","PL1932","PL1949","PL1962","PL2102","PL2169","PL2195","PL2209","PL2291","PL2338","PL2353","PL2360","PL2406","PL475","PL519","PL629","PL687","PL808","PL810","PL893"
"ENSG00000180855",0,0,451,38,0,0,0,0,0,339.175,2.003,0,0,0,123,0,296.996,0,49.298,0,504,547.984,198.998,0,616,73,247,0,311,0,238.518,239,206,127,450.024,36.156,111
"ENSG00000180871",325,583,1612,1870,2265,3,1306,382,433,1549,1859,234,1487,0,948,798,4675,2695,944,1244,322,2984,1981,2764,1682,411,3203,9215,16275.999,577,662,1177,92,971,2916,2093,238
"ENSG00000180879",561,478,102.999,394,1979,0,688.001,242,0,545,259,923,0,0,330,1249,1711.001,0,264,1449.001,460,573,0,2094,815,82,2,1153,169,459,1724.999,704,0,260,921.001,418,357
"ENSG00000180884",305,460,302,443,769,0,633,121,2,69,706,38,0,0,38,7,0,0,119,633,458,866,1308,264,1379,250,0,540,1562,170,495,0,198,751,570,119,0
"ENSG00000180891",19,108,0,188,0,0,149,321,0,251.001,442,426,0,0,310,0,0,0,385,2191,397,3,1050.999,0,362,269,621,991,558,0,161,177,199,179,669,162,0
"ENSG00000180900",479,571,1114,405,0,217,146,299,483,953,1441,114,1903,0,423,193,462,1450,267,735,1292,1021,451,151,781,102,744.999,1450,1122,110,258,105,538,906,2412,295,0
"ENSG00000180901",285,180,639,810,0,0,558,431,192,502,691,0,14,0,693,0,581,0,128,1017,93,1070,680.001,1190,0,241,1609,190,2040,375,342,224,347,738,1185,1456,1041
"ENSG00000180902",319,0,5,237,0,0,0,0,138,13,81,0,0,0,0,0,0,0,0,0,0,386,0,0,0,36,0,0,0,0,0,0,0,471,91,33,255
"ENSG00000180917",1630,83,1210,755,656,0,911,354,955,672,502,1,0,0,0,0,0,0,0,1479,612,1151,45,891,0,100.999,1207,974,959,5,557,358,247,0,762,318.001,568
"ENSG00000180938",0,0,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,31,294,336,0,0,14,98,261,10,0,255,0,155,0,0,0,0
